age,balance,campaign,cons.conf.idx,cons.price.idx,contact,data_source,day,day_of_week,default,duration,education,emp.var.rate,euribor3m,housing,job,loan,marital,month,nr.employed,pdays,poutcome,previous,y,contact_frequency,previous_campaign_success,age_group,has_economic_data,duration_category
25,50.0,1,,,unknown,bank-full,5.0,,no,342,secondary,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,long
40,0.0,1,,,unknown,bank-full,5.0,,no,181,primary,,,yes,retired,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
44,-372.0,1,,,unknown,bank-full,5.0,,no,172,secondary,,,yes,admin.,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
39,255.0,1,,,unknown,bank-full,5.0,,no,296,tertiary,,,yes,management,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
52,113.0,1,,,unknown,bank-full,5.0,,no,127,secondary,,,yes,entrepreneur,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
46,-246.0,2,,,unknown,bank-full,5.0,,no,255,secondary,,,yes,management,no,single,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,medium
36,265.0,1,,,unknown,bank-full,5.0,,no,348,secondary,,,yes,technician,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
57,839.0,1,,,unknown,bank-full,5.0,,no,225,secondary,,,no,technician,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
49,378.0,1,,,unknown,bank-full,5.0,,no,230,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
60,39.0,1,,,unknown,bank-full,5.0,,no,208,secondary,,,yes,admin.,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
59,0.0,1,,,unknown,bank-full,5.0,,no,226,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
51,10635.0,1,,,unknown,bank-full,5.0,,no,336,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
57,63.0,1,,,unknown,bank-full,5.0,,no,242,secondary,,,yes,technician,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
25,-7.0,1,,,unknown,bank-full,5.0,,no,365,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,long
53,-3.0,1,,,unknown,bank-full,5.0,,no,1666,secondary,,,no,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
36,506.0,1,,,unknown,bank-full,5.0,,no,577,secondary,,,yes,admin.,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
37,0.0,1,,,unknown,bank-full,5.0,,no,137,secondary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
44,2586.0,1,,,unknown,bank-full,5.0,,no,160,secondary,,,yes,services,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
50,49.0,2,,,unknown,bank-full,5.0,,no,180,secondary,,,yes,management,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,medium
60,104.0,1,,,unknown,bank-full,5.0,,no,22,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,very_short
54,529.0,1,,,unknown,bank-full,5.0,,no,1492,secondary,,,yes,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
58,96.0,1,,,unknown,bank-full,5.0,,no,616,unknown,,,yes,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
36,-171.0,1,,,unknown,bank-full,5.0,,no,242,primary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
58,-364.0,1,,,unknown,bank-full,5.0,,no,355,tertiary,,,yes,self-employed,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
44,0.0,2,,,unknown,bank-full,5.0,,no,225,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,medium
55,0.0,1,,,unknown,bank-full,5.0,,no,160,secondary,,,no,technician,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
29,0.0,1,,,unknown,bank-full,5.0,,no,363,tertiary,,,yes,management,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,long
54,1291.0,1,,,unknown,bank-full,5.0,,no,266,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
48,-244.0,1,,,unknown,bank-full,5.0,,no,253,tertiary,,,yes,management,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
32,0.0,1,,,unknown,bank-full,5.0,,no,179,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
42,-76.0,1,,,unknown,bank-full,5.0,,no,787,secondary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
24,-103.0,1,,,unknown,bank-full,5.0,,no,145,secondary,,,yes,technician,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,short
38,243.0,1,,,unknown,bank-full,5.0,,no,174,tertiary,,,no,entrepreneur,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
38,424.0,1,,,unknown,bank-full,5.0,,no,104,tertiary,,,yes,management,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
47,306.0,1,,,unknown,bank-full,5.0,,no,13,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,very_short
40,24.0,1,,,unknown,bank-full,5.0,,no,185,unknown,,,yes,blue-collar,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
46,179.0,1,,,unknown,bank-full,5.0,,no,1778,primary,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
32,0.0,1,,,unknown,bank-full,5.0,,no,138,tertiary,,,yes,admin.,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
53,989.0,1,,,unknown,bank-full,5.0,,no,812,secondary,,,yes,technician,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
57,249.0,1,,,unknown,bank-full,5.0,,no,164,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
33,790.0,1,,,unknown,bank-full,5.0,,no,391,secondary,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
49,154.0,1,,,unknown,bank-full,5.0,,no,357,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
51,6530.0,1,,,unknown,bank-full,5.0,,no,91,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
60,100.0,1,,,unknown,bank-full,5.0,,no,528,tertiary,,,no,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
59,59.0,1,,,unknown,bank-full,5.0,,no,273,tertiary,,,yes,management,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
55,1205.0,2,,,unknown,bank-full,5.0,,no,158,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,low,no_previous_contact,pre_retirement,0,short
35,12223.0,1,,,unknown,bank-full,5.0,,no,177,secondary,,,yes,blue-collar,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
57,5935.0,1,,,unknown,bank-full,5.0,,no,258,secondary,,,yes,blue-collar,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
31,25.0,1,,,unknown,bank-full,5.0,,no,172,secondary,,,yes,services,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
54,282.0,1,,,unknown,bank-full,5.0,,no,154,secondary,,,yes,management,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
55,23.0,1,,,unknown,bank-full,5.0,,no,291,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
43,1937.0,1,,,unknown,bank-full,5.0,,no,181,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
53,384.0,1,,,unknown,bank-full,5.0,,no,176,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
44,582.0,1,,,unknown,bank-full,5.0,,no,211,secondary,,,no,blue-collar,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
55,91.0,1,,,unknown,bank-full,5.0,,no,349,secondary,,,no,services,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
49,0.0,1,,,unknown,bank-full,5.0,,no,272,secondary,,,yes,services,yes,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
55,1.0,1,,,unknown,bank-full,5.0,,yes,208,secondary,,,yes,services,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
45,206.0,1,,,unknown,bank-full,5.0,,no,193,secondary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
47,164.0,1,,,unknown,bank-full,5.0,,no,212,secondary,,,no,services,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
42,690.0,1,,,unknown,bank-full,5.0,,no,20,secondary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,very_short
59,2343.0,1,,,unknown,bank-full,5.0,,no,1042,secondary,,,yes,admin.,no,married,may,,-1,unknown,0,yes,first_contact,no_previous_contact,pre_retirement,0,long
46,137.0,1,,,unknown,bank-full,5.0,,no,246,tertiary,,,yes,self-employed,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
51,173.0,2,,,unknown,bank-full,5.0,,no,529,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,long
56,45.0,1,,,unknown,bank-full,5.0,,no,1467,secondary,,,no,admin.,no,married,may,,-1,unknown,0,yes,first_contact,no_previous_contact,pre_retirement,0,long
41,1270.0,1,,,unknown,bank-full,5.0,,no,1389,secondary,,,yes,technician,no,married,may,,-1,unknown,0,yes,first_contact,no_previous_contact,middle_aged,0,long
46,16.0,2,,,unknown,bank-full,5.0,,no,188,secondary,,,yes,management,yes,divorced,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,medium
57,486.0,2,,,unknown,bank-full,5.0,,no,180,secondary,,,yes,retired,no,married,may,,-1,unknown,0,no,low,no_previous_contact,pre_retirement,0,medium
42,50.0,1,,,unknown,bank-full,5.0,,no,48,secondary,,,no,management,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,very_short
30,152.0,2,,,unknown,bank-full,5.0,,no,213,secondary,,,yes,technician,yes,married,may,,-1,unknown,0,no,low,no_previous_contact,adult,0,medium
60,290.0,1,,,unknown,bank-full,5.0,,no,583,secondary,,,yes,admin.,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
60,54.0,1,,,unknown,bank-full,5.0,,no,221,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
57,-37.0,1,,,unknown,bank-full,5.0,,no,173,secondary,,,no,entrepreneur,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
36,101.0,1,,,unknown,bank-full,5.0,,no,426,tertiary,,,yes,management,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
55,383.0,1,,,unknown,bank-full,5.0,,no,287,secondary,,,no,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
60,81.0,1,,,unknown,bank-full,5.0,,no,101,tertiary,,,yes,retired,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
39,0.0,1,,,unknown,bank-full,5.0,,no,203,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
46,229.0,1,,,unknown,bank-full,5.0,,no,197,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
44,-674.0,1,,,unknown,bank-full,5.0,,no,257,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
53,90.0,1,,,unknown,bank-full,5.0,,no,124,primary,,,no,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
52,128.0,1,,,unknown,bank-full,5.0,,no,229,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
59,179.0,3,,,unknown,bank-full,5.0,,no,55,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,pre_retirement,0,very_short
27,0.0,1,,,unknown,bank-full,5.0,,no,400,tertiary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,long
44,54.0,1,,,unknown,bank-full,5.0,,no,197,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
47,151.0,1,,,unknown,bank-full,5.0,,no,190,tertiary,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
34,61.0,1,,,unknown,bank-full,5.0,,no,21,secondary,,,no,admin.,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,very_short
59,30.0,1,,,unknown,bank-full,5.0,,no,514,secondary,,,yes,retired,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
45,523.0,2,,,unknown,bank-full,5.0,,no,849,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,long
29,31.0,1,,,unknown,bank-full,5.0,,no,194,secondary,,,yes,services,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,medium
46,79.0,1,,,unknown,bank-full,5.0,,no,144,secondary,,,no,technician,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
56,-34.0,2,,,unknown,bank-full,5.0,,no,212,primary,,,yes,self-employed,yes,married,may,,-1,unknown,0,no,low,no_previous_contact,pre_retirement,0,medium
36,448.0,1,,,unknown,bank-full,5.0,,no,286,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
59,81.0,1,,,unknown,bank-full,5.0,,no,107,primary,,,yes,retired,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
44,144.0,2,,,unknown,bank-full,5.0,,no,247,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,medium
41,351.0,1,,,unknown,bank-full,5.0,,no,518,secondary,,,yes,admin.,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
33,-67.0,1,,,unknown,bank-full,5.0,,no,364,tertiary,,,yes,management,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
59,262.0,1,,,unknown,bank-full,5.0,,no,178,tertiary,,,no,management,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
57,0.0,1,,,unknown,bank-full,5.0,,no,98,primary,,,no,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
56,56.0,1,,,unknown,bank-full,5.0,,no,439,unknown,,,yes,technician,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
51,26.0,1,,,unknown,bank-full,5.0,,no,79,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
34,3.0,3,,,unknown,bank-full,5.0,,no,120,unknown,,,yes,admin.,no,married,may,,-1,unknown,0,no,low,no_previous_contact,adult,0,short
43,41.0,2,,,unknown,bank-full,5.0,,no,127,secondary,,,yes,services,yes,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,short
52,7.0,1,,,unknown,bank-full,5.0,,no,175,tertiary,,,no,technician,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
33,105.0,2,,,unknown,bank-full,5.0,,no,262,secondary,,,yes,technician,no,single,may,,-1,unknown,0,no,low,no_previous_contact,adult,0,medium
29,818.0,1,,,unknown,bank-full,5.0,,no,61,secondary,,,yes,admin.,yes,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,short
34,-16.0,1,,,unknown,bank-full,5.0,,no,78,secondary,,,yes,services,yes,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
31,0.0,1,,,unknown,bank-full,5.0,,no,143,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
55,2476.0,1,,,unknown,bank-full,5.0,,no,579,secondary,,,yes,services,no,married,may,,-1,unknown,0,yes,first_contact,no_previous_contact,pre_retirement,0,long
55,1185.0,1,,,unknown,bank-full,5.0,,no,677,unknown,,,no,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,long
32,217.0,1,,,unknown,bank-full,5.0,,no,345,secondary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
38,1685.0,1,,,unknown,bank-full,5.0,,no,185,secondary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
55,802.0,2,,,unknown,bank-full,5.0,,no,100,secondary,,,yes,admin.,yes,single,may,,-1,unknown,0,no,low,no_previous_contact,pre_retirement,0,short
28,0.0,2,,,unknown,bank-full,5.0,,no,125,tertiary,,,yes,unemployed,no,single,may,,-1,unknown,0,no,low,no_previous_contact,young_adult,0,short
23,94.0,1,,,unknown,bank-full,5.0,,no,193,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,medium
32,0.0,1,,,unknown,bank-full,5.0,,no,136,secondary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
43,0.0,1,,,unknown,bank-full,5.0,,no,73,unknown,,,no,services,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
32,517.0,1,,,unknown,bank-full,5.0,,no,528,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
46,265.0,1,,,unknown,bank-full,5.0,,no,541,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
53,947.0,1,,,unknown,bank-full,5.0,,no,163,primary,,,yes,housemaid,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
34,3.0,1,,,unknown,bank-full,5.0,,no,301,secondary,,,yes,self-employed,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,long
57,42.0,1,,,unknown,bank-full,5.0,,no,46,tertiary,,,no,unemployed,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,very_short
37,37.0,1,,,unknown,bank-full,5.0,,no,204,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
59,57.0,1,,,unknown,bank-full,5.0,,no,98,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,short
33,22.0,1,,,unknown,bank-full,5.0,,no,71,secondary,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
56,8.0,2,,,unknown,bank-full,5.0,,no,157,primary,,,yes,blue-collar,no,divorced,may,,-1,unknown,0,no,low,no_previous_contact,pre_retirement,0,short
48,293.0,1,,,unknown,bank-full,5.0,,no,243,secondary,,,yes,unemployed,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
43,3.0,2,,,unknown,bank-full,5.0,,no,186,primary,,,yes,services,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,medium
54,348.0,2,,,unknown,bank-full,5.0,,no,579,primary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,long
51,-19.0,2,,,unknown,bank-full,5.0,,no,163,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,short
26,0.0,2,,,unknown,bank-full,5.0,,no,610,secondary,,,yes,student,no,single,may,,-1,unknown,0,no,low,no_previous_contact,young_adult,0,long
40,-4.0,1,,,unknown,bank-full,5.0,,no,2033,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,long
39,18.0,1,,,unknown,bank-full,5.0,,no,85,secondary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,short
50,139.0,2,,,unknown,bank-full,5.0,,no,114,primary,,,no,technician,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,short
41,0.0,2,,,unknown,bank-full,5.0,,no,114,secondary,,,yes,services,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,short
51,1883.0,1,,,unknown,bank-full,5.0,,no,57,unknown,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,very_short
60,216.0,1,,,unknown,bank-full,5.0,,no,238,secondary,,,yes,retired,no,divorced,may,,-1,unknown,0,no,first_contact,no_previous_contact,pre_retirement,0,medium
52,782.0,3,,,unknown,bank-full,5.0,,no,93,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,short
48,904.0,2,,,unknown,bank-full,5.0,,no,128,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,short
48,1705.0,1,,,unknown,bank-full,5.0,,no,107,unknown,,,yes,services,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
39,47.0,1,,,unknown,bank-full,5.0,,no,181,tertiary,,,yes,technician,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,adult,0,medium
47,176.0,2,,,unknown,bank-full,5.0,,no,303,secondary,,,yes,services,no,single,may,,-1,unknown,0,no,low,no_previous_contact,middle_aged,0,long
40,1225.0,5,,,unknown,bank-full,5.0,,no,558,secondary,,,yes,blue-collar,no,married,may,,-1,unknown,0,no,medium,no_previous_contact,middle_aged,0,long
45,86.0,1,,,unknown,bank-full,5.0,,no,270,secondary,,,yes,technician,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,medium
26,82.0,1,,,unknown,bank-full,5.0,,no,228,secondary,,,yes,admin.,no,single,may,,-1,unknown,0,no,first_contact,no_previous_contact,young_adult,0,medium
52,271.0,1,,,unknown,bank-full,5.0,,no,99,tertiary,,,yes,management,no,married,may,,-1,unknown,0,no,first_contact,no_previous_contact,middle_aged,0,short
